catalog #	has title	has description
86-21-557	✓	
86-21-573	✓	
86-21-574	✓	
86-21-575	✓	
86-21-576	✓	
86-21-580	✓	
86-21-581	✓	
86-21-584	✓	
86-21-585	✓	
86-21-587	✓	
86-21-590	✓	
86-21-591	✓	
86-21-592	✓	
86-21-593	✓	
86-21-594	✓	
86-21-595	✓	
86-21-597	✓	
86-21-598	✓	
86-21-599	✓	
86-21-600	✓	
86-21-601	✓	
86-21-602	✓	
86-21-603	✓	
86-21-604	✓	
86-21-605	✓	
86-21-606	✓	
86-21-607	✓	
86-21-608	✓	
86-21-609	✓	
86-21-610	✓	
86-21-611	✓	
86-21-612	✓	
86-21-613	✓	
86-21-614	✓	
86-21-615	✓	
86-21-616	✓	
86-21-617	✓	
86-21-618	✓	
86-21-619	✓	
86-21-621	✓	
86-21-622	✓	
86-21-624	✓	
86-21-625	✓	
86-21-626	✓	
86-21-627	✓	
86-21-628	✓	
86-21-629	✓	
86-21-630	✓	
86-21-632	✓	
86-21-633	✓	
86-21-635	✓	
86-21-636	✓	
86-21-637	✓	
86-21-638	✓	
86-21-642	✓	
86-21-659	✓	
86-21-661	✓	
86-21-662	✓	
86-21-780		✓
96-21-395		✓
